facility_id,name,program_name,address,city,zip,permit_type,is_kbbq,osm_match
FA0163048,YANGJI GAMJATANG,YANGJI GAMJATANG,3470 W 6TH ST STE 6,LOS ANGELES,90020,RESTAURANT (31-60) SEATS HIGH RISK,False,Yangji Gamjatang
FA0163121,BULGOGI HUT,BULGOGI HUT,3600 WILSHIRE BLVD # 100C,LOS ANGELES,90010,RESTAURANT (61-150) SEATS HIGH RISK,True,Bulgogi Hut
FA0165201,JJUKKU JJUKKU & BBQ,JJUKKU JJUKKU & BBQ,3377 WILSHIRE BLVD # 105,LOS ANGELES,90010,RESTAURANT (61-150) SEATS HIGH RISK,True,Jjukku Jjukku Korean BBQ
FA0165343,BBQ STOP,BBQ STOP,20627 GOLDEN SPRINGS DR STE 3A,DIAMOND BAR,91789,RESTAURANT (61-150) SEATS HIGH RISK,True,BBQ Stop AYCE
FA0166809,"CHARCOAL KOREAN BBQ, INC",CHARCOAL KOREAN BBQ,19158 SOLEDAD CANYON RD,SANTA CLARITA,91351,RESTAURANT (61-150) SEATS HIGH RISK,True,
FA0172046,GALBI BROTHERS INC / BROTHERS BBQ,GALBI BROTHERS INC,3680 W 6TH ST,LOS ANGELES,90020,RESTAURANT (151 + ) SEATS HIGH RISK,True,
FA0174240,KIMCHI PLUS,KIMCHI PLUS,1144 S WESTERN AVE #102,LOS ANGELES,90006,RESTAURANT (0-30) SEATS HIGH RISK,False,
FA0176654,PALSAIK KOREAN BBQ,PALSAIK KOREAN BBQ,22757 HAWTHORNE BLVD,TORRANCE,90505,RESTAURANT (0-30) SEATS HIGH RISK,True,
FA0176670,GEN KOREAN BBQ HOUSE WEST COVINA,GEN KOREAN BBQ HOUSE WEST COVINA,300 S CALIFORNIA AVE,WEST COVINA,91790,RESTAURANT (61-150) SEATS HIGH RISK,True,
FA0176880,GANGNAM KOREAN BBQ,GANGNAM KOREAN BBQ,21004 PIONEER BLVD,LAKEWOOD,90715,RESTAURANT (61-150) SEATS HIGH RISK,True,
FA0177041,AYCE GOGI,AYCE GOGI,7128 VAN NUYS BLVD,VAN NUYS,91405,RESTAURANT (61-150) SEATS HIGH RISK,True,
FA0177839,JANGCHUNG PYUNGANDO JOKBAL,JANGCHUNG PYUNGANDO JOKBAL,2716 W OLYMPIC BLVD # 104,LOS ANGELES,90006,RESTAURANT (61-150) SEATS HIGH RISK,False,
FA0179020,YU CHUN,YU CHUN,3185 W OLYMPIC BLVD,LOS ANGELES,90006,RESTAURANT (61-150) SEATS HIGH RISK,False,Yu Chun
FA0180758,KANG HO DONG BAEKJEONG,KANG HO DONG BAEKJEONG,18900 E GALE AVE # A,ROWLAND HEIGHTS,91748,RESTAURANT (61-150) SEATS HIGH RISK,True,
FA0202797,GEN KOREAN BBQ HOUSE,GEN KOREAN BBQ HOUSE,10151 RESEDA BLVD,NORTHRIDGE,91324,RESTAURANT (151 + ) SEATS HIGH RISK,True,Gen Korean BBQ
FA0222748,MAPO GALBI,MAPO GALBI,1008 S ST ANDREWS PL,LOS ANGELES,90019,RESTAURANT (31-60) SEATS HIGH RISK,True,
FA0224078,BBQ CHICKEN LA,BBQ CHICKEN LA,3450 W 6TH ST # 102,LOS ANGELES,90020,RESTAURANT (31-60) SEATS HIGH RISK,False,
FA0226236,KANG HODONG BAEKJEONG,KANG HODONG BAEKJEONG,1725 W CARSON ST STE A,TORRANCE,90501,RESTAURANT (61-150) SEATS HIGH RISK,True,Baekjeong Korean Barbecue
FA0230657,SUN NONG DAN,SUN NONG DAN,927 E LAS TUNAS DR STE J & K,SAN GABRIEL,91776,RESTAURANT (151 + ) SEATS HIGH RISK,False,Sun Nong Dan
